customer_id,customer_name,age,email
1,Customer_1,25,user1@example.com
2,Customer_2,22,user2@example.com
3,Customer_3,46,user3@example.com
4,Customer_4,19,user4@example.com
5,Customer_5,46,user5@example.com
6,Customer_6,51,user6@example.com
7,Customer_7,57,user7@example.com
8,Customer_8,61,user8@example.com
9,Customer_9,19,user9@example.com
10,Customer_10,45,user10@example.com
11,Customer_11,44,user11@example.com
12,Customer_12,65,user12@example.com
13,Customer_13,54,user13@example.com
14,Customer_14,45,user14@example.com
15,Customer_15,55,user15@example.com
16,Customer_16,23,user16@example.com
17,Customer_17,51,user17@example.com
18,Customer_18,22,user18@example.com
19,Customer_19,23,user19@example.com
20,Customer_20,21,user20@example.com
21,Customer_21,43,user21@example.com
22,Customer_22,54,user22@example.com
23,Customer_23,69,user23@example.com
24,Customer_24,55,user24@example.com
25,Customer_25,61,user25@example.com
26,Customer_26,34,user26@example.com
27,Customer_27,18,user27@example.com
28,Customer_28,45,user28@example.com
29,Customer_29,27,user29@example.com
30,Customer_30,40,user30@example.com
31,Customer_31,22,user31@example.com
32,Customer_32,67,user32@example.com
33,Customer_33,61,user33@example.com
34,Customer_34,69,user34@example.com
35,Customer_35,47,user35@example.com
36,Customer_36,35,user36@example.com
37,Customer_37,63,user37@example.com
38,Customer_38,46,user38@example.com
39,Customer_39,36,user39@example.com
40,Customer_40,26,user40@example.com
41,Customer_41,64,user41@example.com
42,Customer_42,41,user42@example.com
43,Customer_43,47,user43@example.com
44,Customer_44,50,user44@example.com
45,Customer_45,20,user45@example.com
46,Customer_46,38,user46@example.com
47,Customer_47,58,user47@example.com
48,Customer_48,67,user48@example.com
49,Customer_49,47,user49@example.com
50,Customer_50,48,user50@example.com
51,Customer_51,52,user51@example.com
52,Customer_52,36,user52@example.com
53,Customer_53,31,user53@example.com
54,Customer_54,21,user54@example.com
55,Customer_55,48,user55@example.com
56,Customer_56,32,user56@example.com
57,Customer_57,69,user57@example.com
58,Customer_58,38,user58@example.com
59,Customer_59,45,user59@example.com
60,Customer_60,46,user60@example.com
61,Customer_61,43,user61@example.com
62,Customer_62,52,user62@example.com
63,Customer_63,19,user63@example.com
64,Customer_64,53,user64@example.com
65,Customer_65,48,user65@example.com
66,Customer_66,35,user66@example.com
67,Customer_67,66,user67@example.com
68,Customer_68,33,user68@example.com
69,Customer_69,23,user69@example.com
70,Customer_70,23,user70@example.com
71,Customer_71,26,user71@example.com
72,Customer_72,54,user72@example.com
73,Customer_73,53,user73@example.com
74,Customer_74,56,user74@example.com
75,Customer_75,41,user75@example.com
76,Customer_76,44,user76@example.com
77,Customer_77,24,user77@example.com
78,Customer_78,40,user78@example.com
79,Customer_79,58,user79@example.com
80,Customer_80,37,user80@example.com
81,Customer_81,33,user81@example.com
82,Customer_82,52,user82@example.com
83,Customer_83,49,user83@example.com
84,Customer_84,39,user84@example.com
85,Customer_85,48,user85@example.com
86,Customer_86,53,user86@example.com
87,Customer_87,37,user87@example.com
88,Customer_88,43,user88@example.com
89,Customer_89,48,user89@example.com
90,Customer_90,37,user90@example.com
91,Customer_91,59,user91@example.com
92,Customer_92,41,user92@example.com
93,Customer_93,32,user93@example.com
94,Customer_94,35,user94@example.com
95,Customer_95,58,user95@example.com
96,Customer_96,69,user96@example.com
97,Customer_97,64,user97@example.com
98,Customer_98,56,user98@example.com
99,Customer_99,48,user99@example.com
100,Customer_100,36,user100@example.com
101,Customer_101,55,user101@example.com
102,Customer_102,49,user102@example.com
103,Customer_103,56,user103@example.com
104,Customer_104,55,user104@example.com
105,Customer_105,32,user105@example.com
106,Customer_106,57,user106@example.com
107,Customer_107,48,user107@example.com
108,Customer_108,42,user108@example.com
109,Customer_109,50,user109@example.com
110,Customer_110,42,user110@example.com
111,Customer_111,24,user111@example.com
112,Customer_112,26,user112@example.com
113,Customer_113,34,user113@example.com
114,Customer_114,64,user114@example.com
115,Customer_115,41,user115@example.com
116,Customer_116,19,user116@example.com
117,Customer_117,29,user117@example.com
118,Customer_118,35,user118@example.com
119,Customer_119,46,user119@example.com
120,Customer_120,20,user120@example.com
121,Customer_121,47,user121@example.com
122,Customer_122,47,user122@example.com
123,Customer_123,34,user123@example.com
124,Customer_124,62,user124@example.com
125,Customer_125,49,user125@example.com
126,Customer_126,33,user126@example.com
127,Customer_127,30,user127@example.com
128,Customer_128,38,user128@example.com
129,Customer_129,26,user129@example.com
130,Customer_130,66,user130@example.com
131,Customer_131,42,user131@example.com
132,Customer_132,34,user132@example.com
133,Customer_133,46,user133@example.com
134,Customer_134,21,user134@example.com
135,Customer_135,45,user135@example.com
136,Customer_136,50,user136@example.com
137,Customer_137,51,user137@example.com
138,Customer_138,53,user138@example.com
139,Customer_139,51,user139@example.com
140,Customer_140,22,user140@example.com
141,Customer_141,24,user141@example.com
142,Customer_142,41,user142@example.com
143,Customer_143,60,user143@example.com
144,Customer_144,42,user144@example.com
145,Customer_145,51,user145@example.com
